Sex,Age,GenHealth,PVD1,PVD2,PVD3rc,PVD4,PVD5rc,PVD6,PVD7,PVD8,PVD9,PVD10,PVD11rc,PVD12rc,PVD13rc,PVD14rc,PVD15,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6rc,SOIR7,SOIR8,SOIR9,TDDS1,TDDS2,TDDS3,TDDS4,TDDS5,TDDS6,TDDS7,TDDS8,TDDS9,TDDS10,TDDS11,TDDS12,TDDS13,TDDS14,TDDS15,TDDS16,TDDS17,TDDS18,TDDS19,TDDS20,TDDS21
2, ,5,7,5,2,7,1,7,6,7,6,7,1,3,1,2,7,8,7,9,7,8,2,8,7,9,7,5,6,6,7,6,7,7,5,6,6,5,6,6,7,6,7,5,6,7,6
1,63,3,4,1,4,5,4,1,1,1,7,1,5,3,5,5,3,2,9,6,9,1,9,1,1,1,7,1,5,7,1,7,7,1,5,7,1,6,7,1,6,4,1,5,5,1,4
2,54,5,7,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,3,2,2,5,7,7,7,1,2,6,6,2,7,6,6,5,1,5,5,5,7,6,3,6
2,51,2,7,2,7,4,6,1,5,2,1,1,2,6,6,3,1,2,2,1,1,1,3,5,7,3,6,7,7,7,2,7,5,3,5,7,5,7,7,7,4,6,5,6,5,7,7
2,50,4,2,2,4,1,6,1,3,1,1,1,7,2,4,2,2,2,1,1,7,4,2,1,1,1,4,3,7,4,2,5,3,2,4,5,5,7,3,5,6,3,4,3,3,2,5
2,49,4,7,2,7,7,2,2,6,4,1,3,3,3,2,2,6,2,2,1,5,1,3,3,3,2,4,6,6,5,5,6,5,3,6,4,5,6,4,6,5,4,7,6,4,7,7
2,49,3,6,6,5,6,2,1,6,4,1,2,7,4,3,2,7,2,2,3,6,2,2,2,1,1,6,6,7,5,2,6,5,3,4,5,2,5,6,2,4,5,6,6,6,4,7
1,47,2,7,6,4,4,7,6,4,6,1,6,3,7,2,7,2,1,2,1,9,3,3,9,5,5,1,3,4,5,1,2,2,1,1,6,1,2,3,1,3,5,1,2,3,5,3
2,46,1,7,2,7,7,7,4,4,2,6,4,7,7,2,7,4,1,2,6,1,1,1,2,2,2,5,7,7,7,4,4,2,4,7,5,3,3,4,3,7,2,6,4,4,4,7
2,45,3,7,5,7,7,5,5,5,5,1,4,7,7,7,3,1,2,3,1,1,1,1,1,1,1,5,7,7,6,1,7,5,5,7,5,7,5,7,7,6,6,7,7,5,1,7
2,45,3,6,2,6,6,3,1,3,1,1,1,5,5,3,3,4,2,8,8,7,5,7,7,1,3,3,6,5,6,7,4,4,5,4,5,6,3,5,5,6,7,7,2,6,7,6
2,45,4,7,1,1,7,7,1,5,1,5,1,7,1,7,1,7,2,2,1,5,1,1,1,1,1,3,5,7,3,6,7,1,7,7,3,5,6,3,7,7,1,7,5,1,7,7
1,44,2,1,2,1,1,4,1,1,3,1,2,1,4,6,4,1,2,1,1,6,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,4,1,1,3,1,1,1,1,1,2
2,44,3,7,4,6,4,5,5,4,4,5,4,4,4,5,4,5,2,4,4,9,2,4,1,1,1,1,2,4,2,2,4,1,2,5,1,4,5,1,3,5,1,4,3,1,4,4
2,44,2,6,4,6,1,4,1,4,4,1,4,7,4,6,4,1,2,1,2,7,4,6,1,1,1,4,4,7,6,1,5,4,4,6,5,4,4,4,4,6,3,6,5,5,1,7
1,42,4,4,2,3,5,3,1,1,1,2,2,1,5,3,1,2,1,2,2,1,1,1,3,5,2,7,7,7,7,7,7,7,5,6,7,4,7,7,7,7,5,5,6,5,2,4
2,42,3,3,2,4,3,3,2,3,2,2,2,3,2,2,3,2,2,2,2,5,1,1,2,2,2,4,3,4,5,2,3,4,2,4,4,4,4,4,4,4,4,4,3,3,3,4
2,41,1,7,4,2,7,6,2,1,3,1,5,2,6,7,6,2,2,3,5,2,1,2,2,1,1,1,6,3,3,4,3,3,3,5,6,5,7,4,7,7,4,7,5,2,7,3
2,41,1,6,6,4,2,7,6,3,6,1,5,5,7,4,5,3,2,2,2,8,5,5,2,3,2,7,5,7,7,1,1,7,2,6,7,2,7,7,1,7,7,7,7,7,1,5
2,40,3,7,6,7,7,7,6,7,6,6,6,7,7,7,7,7,2,6,3,9,2,9,2,2,1,7,7,7,7,4,7,7,4,7,7,4,7,7,4,7,7,7,7,7,7,7
2,39,2,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,2,9,9,1,9,1,2,3,2,7,1,7,7,1,5,7,7,5,7,1,7,7,7,5,7,4,7,7,7,4
2,39,4,1,1,2,6,2,1,6,1,6,1,7,2,2,2,6,2,1,1,1,1,2,1,1,1,5,6,4,5,1,2,4,1,1,1,5,4,1,5,4,1,5,2,1,5,3
2,39,3,5,3,7,7,5,1,1,2,1,2,1,5,1,4,1,2,2,1,2,1,2,1,1,1,3,4,6,3,2,3,3,7,5,3,6,2,4,5,5,3,7,2,3,5,6
1,38,5,5,2,2,3,3,2,1,1,5,2,2,4,5,2,2,2,1,3,7,1,4,4,1,3,3,2,6,6,1,3,5,1,3,5,3,5,2,2,5,6,1,4,4,1,4
1,38,2,7,2,7,7,4,1,6,1,7,1,4,2,6,2,7,2,2,1,7,6,1,7,4,6,7,5,7,7,1,3,6,1,7,6,1,1,6,3,6,6,2,6,5,1,6
2,37,3,4,4,4,5,3,3,3,4,3,3,3,3,3,4,2,3,1,3,9,1,6,3,3,2,3,3,4,3,4,4,1,5,4,4,4,5,7,6,6,3,5,6,6,7,5
2,37,4,7,2,7,7,2,1,2,2,2,2,1,2,2,1,1,2,3,1,1,1,1,3,3,3,7,7,7,7,1,7,7,1,4,7,4,7,7,7,7,7,7,7,7,7,1
1,36,4,1,2,2,2,2,2,2,1,2,1,2,2,1,2,1,2,2,2,9,9,9,8,3,7,2,2,5,4,2,1,2,2,1,5,2,2,5,1,1,6,1,2,5,1,3
1,36,3,2,1,1,4,1,1,1,1,2,1,4,1,1,1,1,2,1,1,5,1,1,1,1,1,2,2,6,4,1,2,2,1,2,4,1,4,3,1,4,4,3,1,2,1,2
1,35,3,2,2,5,2,5,3,6,2,2,4,4,6,4,6,2,2,2,5,2,4,9,1,3,1,6,3,4,2,3,6,3,2,4,2,2,2,2,2,2,6,5,5,2,4,3
1,35,3,4,1,2,1,2,1,1,1,1,1,2,2,2,2,1,2,2,2,1,2,2,1,1,1,2,2,2,5,2,4,5,1,4,4,7,4,6,2,5,3,2,1,3,1,1
1,35,4,6,7,2,6,1,6,7,6,6,5,2,1,2,1,6,3,2,2,7,7,4,8,7,8,6,7,6,7,7,6,6,6,7,6,7,7,6,6,6,7,7,6,6,5,6
1,35,4,6,7,2,5,2,6,5,6,7,6,2,3,2,1,6,2,2,2,8,7,2,7,8,8,6,5,6,6,7,6,6,6,5,6,6,5,6,5,6,5,6,7,6,6,5
2,35,2,6,6,6,3,5,5,5,5,1,5,5,4,6,5,2,2,3,6,6,2,4,2,1,1,1,4,7,2,2,3,3,2,4,3,4,3,2,3,3,5,5,6,4,3,4
2,35,5,5,1,7,6,7,1,5,1,4,1,6,2,3,1,3,2,1,4,5,6,6,7,8,7,4,1,7,5,1,4,5,1,4,5,3,6,5,2,6,4,3,6,3,1,5
1,34,3,6,1,2,2,2,1,2,1,1,1,2,2,2,2,1,3,5,8,9,9,9,9,9,9,1,1,4,1,1,5,1,1,2,3,1,3,1,1,3,1,1,3,1,1,3
1,34,5,2,1,6,6,1,1,4,1,2,1,3,1,2,1,1,6,9,9,9,9,9,4,3,3,5,6,6,7,3,4,4,2,3,6,6,4,7,3,6,5,4,3,7,4,7
1,34,2,6,2,4,6,1,2,4,6,7,4,1,5,1,4,6,3,2,4,7,6,6,8,3,6,2,1,5,6,2,7,5,1,3,2,1,3,1,4,3,1,2,2,4,2,5
1,34,4,5,3,3,3,2,4,2,7,5,3,4,5,2,6,5,2,1,2,9,1,2,4,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
1,34,3,5,3,3,6,4,3,4,4,5,2,3,2,4,5,4,6,4,5,6,7,5,6,6,5,4,6,7,7,3,7,4,1,6,7,2,3,4,5,4,4,5,3,5,4,3
1,34,4,7,6,2,5,1,7,6,5,6,7,3,2,1,3,7,9,7,8,9,7,1,7,8,9,4,5,6,6,4,5,7,7,6,5,4,5,6,7,4,5,6,7,6,5,4
1,34,4,6,6,3,6,4,6,3,5,4,4,3,4,4,3,5,2,2,3,7,6,6,6,4,6,3,6,5,7,5,7,4,1,7,7,4,5,3,4,5,4,3,4,5,4,3
1,34,4,7,5,1,7,7,4,3,6,7,5,1,3,2,3,5,2,2,3,9,8,9,9,6,9,2,4,6,7,1,7,3,1,5,7,1,5,7,5,7,1,1,1,2,1,1
1,34,4,6,7,2,5,2,7,6,5,6,6,2,1,2,2,5,2,2,2,8,7,2,8,7,8,6,6,4,5,6,6,5,7,6,5,6,4,6,6,7,6,7,6,5,6,6
1,34,4,6,5,3,6,3,6,5,7,6,5,4,3,4,3,4,2,2,2,8,6,3,7,6,8,1,2,6,7,1,7,4,1,6,7,1,5,4,3,5,4,3,5,4,3,2
2,34,3,7,3,3,7,4,2,7,3,2,2,7,5,4,4,7,3,8,8,9,9,8,5,5,6,4,2,7,6,2,7,5,2,5,6,4,4,5,3,6,6,7,6,6,4,7
2,34,3,7,4,7,7,4,5,7,5,3,4,3,4,7,5,5,2,1,1,1,1,1,1,1,1,5,3,7,6,5,7,5,2,4,6,1,3,4,7,5,5,7,4,6,7,7
1,33,3,6,3,1,2,3,2,2,3,2,2,2,3,6,3,2,4,5,6,9,9,9,3,2,3,3,2,4,5,2,4,4,1,4,4,2,3,4,2,4,4,2,4,5,3,5
2,33,3,3,3,1,1,3,2,1,2,1,1,3,3,2,3,2,4,3,3,9,2,9,3,2,2,2,3,5,3,2,4,6,2,2,3,3,4,5,1,4,3,3,6,5,4,2
2,33,2,7,5,3,3,4,4,3,5,1,4,2,5,6,5,2,2,2,6,8,1,2,3,3,2,4,5,7,6,2,5,6,2,6,5,7,4,4,2,7,5,7,7,5,2,5
2,33,2,7,3,3,6,3,2,6,2,2,2,5,3,5,2,4,2,1,2,7,2,3,8,6,7,5,6,6,5,4,5,5,3,3,2,4,4,5,4,6,5,7,6,4,4,7
2,33,3,7,2,4,7,5,1,7,4,2,2,7,4,5,4,6,2,1,1,9,5,5,1,1,1,1,6,7,1,4,7,1,3,6,1,3,7,1,4,7,1,7,7,1,4,7
2,33, ,3,6,2,3,4,3,6,6,1,5,3,4,2,5,6,4,4,2,7,4,5,6,2,2, , , , , , , , , , , , , , , , , , , , , 
1,32,3,5,6,2,2,6,5,1,6,4,5,1,5,6,6,1,2,2,1,1,1,1,3,3,1,1,5,7,7,7,2,5,4,5,5,6,2,5,7,6,6,7,1,6,7,2
1,32,3,4,4,4,2,4,3,3,3,3,3,2,4,3,3,4,2,1,1,1,1,1,1,2,1,6,4,6,6,1,3,6,1,4,6,4,1,6,6,4,6,3,3,5,6,4
2,32,2,7,1,4,7,1,1,7,1,1,1,1,1,1,1,1,3,5,9,9,9,9,5,5,5,2,1,7,7,1,7,2,1,7,7,1,4,7,1,7,2,4,7,7,1,7
2,32,4,5,3,2,2,6,5,6,3,2,4,6,6,6,3,2,2,4,3,8,8,9,7,1,4,3,1,5,1,1,2,1,1,1,4,3,1,1,1,3,2,2,2,1,1,2
2,32,4,7,3,6,5,5,2,5,3,2,3,7,5,6,4,6,2,2,2,6,5,8,2,2,2,1,6,5,2,5,7,1,3,6,2,5,4,2,5,5,2,3,4,2,3,5
2,32,4,7,3,2,4,3,5,3,3,2,2,2,2,2,2,2,2,3,1,5,1,3,4,2,1,6,6,7,7,2,6,4,1,7,7,7,7,7,7,6,7,7,7,7,7,7
2,32,5,7,3,1,5,3,1,1,1,1,1,4,4,4,4,4,3,3,3,7,7,3,9,9,9,1,1,3,7,1,1,4,1,1,7,1,2,3,1,2,2,1,1,4,1,2
1,31,3,7,4,4,7,5,3,4,2,3,3,6,4,3,4,4,1,1,1,5,1,3,2,2,2,1,5,6,1,1,4,1,1,5,1,1,5,1,3,6,1,1,3,1,1,5
1,31,4,4,3,5,3,5,3,3,3,3,3,5,6,6,6,3,2,2,2,1,1,9,2,2,2,3,4,4,4,4,4,4,3,3,3,2,2,2,2,2,3,2,3,2,2,2
2,31,4,7,6,1,6,1,7,6,7,6,7,1,2,1,2,7,5,6,6,8,9,2,8,9,8,6,7,6,7,6,7,6,5,6,7,7,6,6,7,6,6,7,6,7,6,6
1,30,5,1,1,7,1,7,1,1,1,1,1,7,7,7,7,1,2,2,2,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1,30,5,3,4,5,4,4,4,5,4,5,4,4,4,3,4,4,2,1,2,1,1,8,1,1,1,4,4,4,4,4,4,4,3,4,3,3,3,4,3,4,3,3,4,3,4,4
1,30,3,2,2,4,6,5,2,2,2,4,4,3,4,4,4,3,2,2,3,5,5,7,5,6,6,4,2,7,6,1,6,3,2,4,6,2,6,4,2,7,5,2,4,4,2,6
1,30,3,3,2,2,7,3,2,4,1,1,2,3,2,5,2,6,2,5,5,8,7,8,6,5,3,4,2,6,5,1,6,7,1,4,5,4,3,3,1,5,7,5,4,4,1,5
1,30,5,1,1,7,7,1,1,1,1,1,1,1,1,2,1,1,4,7,7,9,7,2,8,7,7,4,5,7,5,2,5,3,1,6,6,2,7,5,3,6,5,1,6,5,2,6
1,30,3,6,7,4,4,4,5,2,2,4,3,3,5,5,1,3,2,3,2,8,6,3,6,6,7,4,7,7,7,7,4,7,4,4,3,5,4,4,3,4,4,4,6,5,7,5
2,30,1,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,1,1,1,1,1,1,9,6,1,1,7,7,1,3,7,1,6,7,1,7,7,1,7,7,1,7,7,1,7,7
2,30,3,6,7,2,6,1,6,7,6,7,6,2,1,1,2,7,8,6,8,8,9,3,8,9,8,6,7,6,7,6,7,6,6,7,6,7,6,7,6,6,7,6,7,6,7,6
2,30,4,6,6,3,6,3,6,7,6,7,6,2,1,2,1,6,7,7,8,8,7,2,7,8,7,6,7,6,5,6,7,6,6,7,6,5,6,7,6,6,5,4,6,5,4,6
2,30,4,5,4,3,4,3,5,6,5,6,6,4,3,4,3,4,6,7,6,6,7,4,5,6,5,5,6,5,6,5,5,6,5,6,5,6,5,6,5,5,6,5,6,5,6,5
2,30,4,5,6,3,6,3,5,6,5,6,5,3,2,3,2,5, , , , , , , , , ,5,6,5,6,6,5,6,5,6,5,5,5,6,5,5,6,5,6,5,6,5
2,30,4,6,7,2,7,2,6,7,6,7,6,2,1,2,1,6,1,2,1,2,1,8,1,2,1,4,5,4,5,4,5,4,5,4,5,4,5,5,4,4,5,5,4,5,4,4
